Artist,Year,Listeners,Playcount
Michelle,2007,393012,5447522
Michelle,2008,393012,5447522
Michelle,2009,393012,5447522
Michelle,2010,393012,5447522
Michelle,2011,393012,5447522
Michelle,2012,393012,5447522
Michelle,2013,393012,5447522
Michelle,2014,393012,5447522
Michelle,2015,393012,5447522
Michelle,2016,393012,5447522
Michelle,2017,393012,5447522
Michelle,2018,393012,5447522
Michelle,2019,393012,5447522
Michelle,2020,393012,5447522
Michelle,2021,393012,5447522
Michelle,2022,393012,5447522
Michelle,2023,393012,5447522
Michelle,2024,393012,5447522
Udo Jürgens,2007,176667,1967046
Udo Jürgens,2008,176667,1967046
Udo Jürgens,2009,176667,1967046
Udo Jürgens,2010,176667,1967046
Udo Jürgens,2011,176667,1967046
Udo Jürgens,2012,176667,1967046
Udo Jürgens,2013,176667,1967046
Udo Jürgens,2014,176667,1967046
Udo Jürgens,2015,176667,1967046
Udo Jürgens,2016,176667,1967046
Udo Jürgens,2017,176667,1967046
Udo Jürgens,2018,176667,1967046
Udo Jürgens,2019,176667,1967046
Udo Jürgens,2020,176667,1967046
Udo Jürgens,2021,176667,1967046
Udo Jürgens,2022,176667,1967046
Udo Jürgens,2023,176667,1967046
Udo Jürgens,2024,176667,1967046
Wolfgang Petry,2007,121909,1766522
Wolfgang Petry,2008,121909,1766522
Wolfgang Petry,2009,121909,1766522
Wolfgang Petry,2010,121909,1766522
Wolfgang Petry,2011,121909,1766522
Wolfgang Petry,2012,121909,1766522
Wolfgang Petry,2013,121909,1766522
Wolfgang Petry,2014,121909,1766522
Wolfgang Petry,2015,121909,1766522
Wolfgang Petry,2016,121909,1766522
Wolfgang Petry,2017,121909,1766522
Wolfgang Petry,2018,121909,1766522
Wolfgang Petry,2019,121909,1766522
Wolfgang Petry,2020,121909,1766522
Wolfgang Petry,2021,121909,1766522
Wolfgang Petry,2022,121909,1766522
Wolfgang Petry,2023,121909,1766522
Wolfgang Petry,2024,121909,1766522
Matthias Reim,2007,115304,1328090
Matthias Reim,2008,115304,1328090
Matthias Reim,2009,115304,1328090
Matthias Reim,2010,115304,1328090
Matthias Reim,2011,115304,1328090
Matthias Reim,2012,115304,1328090
Matthias Reim,2013,115304,1328090
Matthias Reim,2014,115304,1328090
Matthias Reim,2015,115304,1328090
Matthias Reim,2016,115304,1328090
Matthias Reim,2017,115304,1328090
Matthias Reim,2018,115304,1328090
Matthias Reim,2019,115304,1328090
Matthias Reim,2020,115304,1328090
Matthias Reim,2021,115304,1328090
Matthias Reim,2022,115304,1328090
Matthias Reim,2023,115304,1328090
Matthias Reim,2024,115304,1328090
Roland Kaiser,2007,88636,1150305
Roland Kaiser,2008,88636,1150305
Roland Kaiser,2009,88636,1150305
Roland Kaiser,2010,88636,1150305
Roland Kaiser,2011,88636,1150305
Roland Kaiser,2012,88636,1150305
Roland Kaiser,2013,88636,1150305
Roland Kaiser,2014,88636,1150305
Roland Kaiser,2015,88636,1150305
Roland Kaiser,2016,88636,1150305
Roland Kaiser,2017,88636,1150305
Roland Kaiser,2018,88636,1150305
Roland Kaiser,2019,88636,1150305
Roland Kaiser,2020,88636,1150305
Roland Kaiser,2021,88636,1150305
Roland Kaiser,2022,88636,1150305
Roland Kaiser,2023,88636,1150305
Roland Kaiser,2024,88636,1150305
Heino,2007,74530,965600
Heino,2008,74530,965600
Heino,2009,74530,965600
Heino,2010,74530,965600
Heino,2011,74530,965600
Heino,2012,74530,965600
Heino,2013,74530,965600
Heino,2014,74530,965600
Heino,2015,74530,965600
Heino,2016,74530,965600
Heino,2017,74530,965600
Heino,2018,74530,965600
Heino,2019,74530,965600
Heino,2020,74530,965600
Heino,2021,74530,965600
Heino,2022,74530,965600
Heino,2023,74530,965600
Heino,2024,74530,965600
Peggy March,2007,55695,662657
Peggy March,2008,55695,662657
Peggy March,2009,55695,662657
Peggy March,2010,55695,662657
Peggy March,2011,55695,662657
Peggy March,2012,55695,662657
Peggy March,2013,55695,662657
Peggy March,2014,55695,662657
Peggy March,2015,55695,662657
Peggy March,2016,55695,662657
Peggy March,2017,55695,662657
Peggy March,2018,55695,662657
Peggy March,2019,55695,662657
Peggy March,2020,55695,662657
Peggy March,2021,55695,662657
Peggy March,2022,55695,662657
Peggy March,2023,55695,662657
Peggy March,2024,55695,662657
Howard Carpendale,2007,76449,777948
Howard Carpendale,2008,76449,777948
Howard Carpendale,2009,76449,777948
Howard Carpendale,2010,76449,777948
Howard Carpendale,2011,76449,777948
Howard Carpendale,2012,76449,777948
Howard Carpendale,2013,76449,777948
Howard Carpendale,2014,76449,777948
Howard Carpendale,2015,76449,777948
Howard Carpendale,2016,76449,777948
Howard Carpendale,2017,76449,777948
Howard Carpendale,2018,76449,777948
Howard Carpendale,2019,76449,777948
Howard Carpendale,2020,76449,777948
Howard Carpendale,2021,76449,777948
Howard Carpendale,2022,76449,777948
Howard Carpendale,2023,76449,777948
Howard Carpendale,2024,76449,777948
Juliane Werding,2007,81754,735066
Juliane Werding,2008,81754,735066
Juliane Werding,2009,81754,735066
Juliane Werding,2010,81754,735066
Juliane Werding,2011,81754,735066
Juliane Werding,2012,81754,735066
Juliane Werding,2013,81754,735066
Juliane Werding,2014,81754,735066
Juliane Werding,2015,81754,735066
Juliane Werding,2016,81754,735066
Juliane Werding,2017,81754,735066
Juliane Werding,2018,81754,735066
Juliane Werding,2019,81754,735066
Juliane Werding,2020,81754,735066
Juliane Werding,2021,81754,735066
Juliane Werding,2022,81754,735066
Juliane Werding,2023,81754,735066
Juliane Werding,2024,81754,735066
Tino Martin,2007,22344,491613
Tino Martin,2008,22344,491613
Tino Martin,2009,22344,491613
Tino Martin,2010,22344,491613
Tino Martin,2011,22344,491613
Tino Martin,2012,22344,491613
Tino Martin,2013,22344,491613
Tino Martin,2014,22344,491613
Tino Martin,2015,22344,491613
Tino Martin,2016,22344,491613
Tino Martin,2017,22344,491613
Tino Martin,2018,22344,491613
Tino Martin,2019,22344,491613
Tino Martin,2020,22344,491613
Tino Martin,2021,22344,491613
Tino Martin,2022,22344,491613
Tino Martin,2023,22344,491613
Tino Martin,2024,22344,491613
Marianne Rosenberg,2007,91930,637738
Marianne Rosenberg,2008,91930,637738
Marianne Rosenberg,2009,91930,637738
Marianne Rosenberg,2010,91930,637738
Marianne Rosenberg,2011,91930,637738
Marianne Rosenberg,2012,91930,637738
Marianne Rosenberg,2013,91930,637738
Marianne Rosenberg,2014,91930,637738
Marianne Rosenberg,2015,91930,637738
Marianne Rosenberg,2016,91930,637738
Marianne Rosenberg,2017,91930,637738
Marianne Rosenberg,2018,91930,637738
Marianne Rosenberg,2019,91930,637738
Marianne Rosenberg,2020,91930,637738
Marianne Rosenberg,2021,91930,637738
Marianne Rosenberg,2022,91930,637738
Marianne Rosenberg,2023,91930,637738
Marianne Rosenberg,2024,91930,637738
Beatrice Egli,2007,22425,497522
Beatrice Egli,2008,22425,497522
Beatrice Egli,2009,22425,497522
Beatrice Egli,2010,22425,497522
Beatrice Egli,2011,22425,497522
Beatrice Egli,2012,22425,497522
Beatrice Egli,2013,22425,497522
Beatrice Egli,2014,22425,497522
Beatrice Egli,2015,22425,497522
Beatrice Egli,2016,22425,497522
Beatrice Egli,2017,22425,497522
Beatrice Egli,2018,22425,497522
Beatrice Egli,2019,22425,497522
Beatrice Egli,2020,22425,497522
Beatrice Egli,2021,22425,497522
Beatrice Egli,2022,22425,497522
Beatrice Egli,2023,22425,497522
Beatrice Egli,2024,22425,497522
Vicky Leandros,2007,76397,580878
Vicky Leandros,2008,76397,580878
Vicky Leandros,2009,76397,580878
Vicky Leandros,2010,76397,580878
Vicky Leandros,2011,76397,580878
Vicky Leandros,2012,76397,580878
Vicky Leandros,2013,76397,580878
Vicky Leandros,2014,76397,580878
Vicky Leandros,2015,76397,580878
Vicky Leandros,2016,76397,580878
Vicky Leandros,2017,76397,580878
Vicky Leandros,2018,76397,580878
Vicky Leandros,2019,76397,580878
Vicky Leandros,2020,76397,580878
Vicky Leandros,2021,76397,580878
Vicky Leandros,2022,76397,580878
Vicky Leandros,2023,76397,580878
Vicky Leandros,2024,76397,580878
Vanessa Mai,2007,24572,381801
Vanessa Mai,2008,24572,381801
Vanessa Mai,2009,24572,381801
Vanessa Mai,2010,24572,381801
Vanessa Mai,2011,24572,381801
Vanessa Mai,2012,24572,381801
Vanessa Mai,2013,24572,381801
Vanessa Mai,2014,24572,381801
Vanessa Mai,2015,24572,381801
Vanessa Mai,2016,24572,381801
Vanessa Mai,2017,24572,381801
Vanessa Mai,2018,24572,381801
Vanessa Mai,2019,24572,381801
Vanessa Mai,2020,24572,381801
Vanessa Mai,2021,24572,381801
Vanessa Mai,2022,24572,381801
Vanessa Mai,2023,24572,381801
Vanessa Mai,2024,24572,381801
Jürgen Drews,2007,67856,514278
Jürgen Drews,2008,67856,514278
Jürgen Drews,2009,67856,514278
Jürgen Drews,2010,67856,514278
Jürgen Drews,2011,67856,514278
Jürgen Drews,2012,67856,514278
Jürgen Drews,2013,67856,514278
Jürgen Drews,2014,67856,514278
Jürgen Drews,2015,67856,514278
Jürgen Drews,2016,67856,514278
Jürgen Drews,2017,67856,514278
Jürgen Drews,2018,67856,514278
Jürgen Drews,2019,67856,514278
Jürgen Drews,2020,67856,514278
Jürgen Drews,2021,67856,514278
Jürgen Drews,2022,67856,514278
Jürgen Drews,2023,67856,514278
Jürgen Drews,2024,67856,514278
Michael Holm,2007,53764,356267
Michael Holm,2008,53764,356267
Michael Holm,2009,53764,356267
Michael Holm,2010,53764,356267
Michael Holm,2011,53764,356267
Michael Holm,2012,53764,356267
Michael Holm,2013,53764,356267
Michael Holm,2014,53764,356267
Michael Holm,2015,53764,356267
Michael Holm,2016,53764,356267
Michael Holm,2017,53764,356267
Michael Holm,2018,53764,356267
Michael Holm,2019,53764,356267
Michael Holm,2020,53764,356267
Michael Holm,2021,53764,356267
Michael Holm,2022,53764,356267
Michael Holm,2023,53764,356267
Michael Holm,2024,53764,356267
Rex Gildo,2007,43764,256863
Rex Gildo,2008,43764,256863
Rex Gildo,2009,43764,256863
Rex Gildo,2010,43764,256863
Rex Gildo,2011,43764,256863
Rex Gildo,2012,43764,256863
Rex Gildo,2013,43764,256863
Rex Gildo,2014,43764,256863
Rex Gildo,2015,43764,256863
Rex Gildo,2016,43764,256863
Rex Gildo,2017,43764,256863
Rex Gildo,2018,43764,256863
Rex Gildo,2019,43764,256863
Rex Gildo,2020,43764,256863
Rex Gildo,2021,43764,256863
Rex Gildo,2022,43764,256863
Rex Gildo,2023,43764,256863
Rex Gildo,2024,43764,256863
Costa Cordalis,2007,49761,291097
Costa Cordalis,2008,49761,291097
Costa Cordalis,2009,49761,291097
Costa Cordalis,2010,49761,291097
Costa Cordalis,2011,49761,291097
Costa Cordalis,2012,49761,291097
Costa Cordalis,2013,49761,291097
Costa Cordalis,2014,49761,291097
Costa Cordalis,2015,49761,291097
Costa Cordalis,2016,49761,291097
Costa Cordalis,2017,49761,291097
Costa Cordalis,2018,49761,291097
Costa Cordalis,2019,49761,291097
Costa Cordalis,2020,49761,291097
Costa Cordalis,2021,49761,291097
Costa Cordalis,2022,49761,291097
Costa Cordalis,2023,49761,291097
Costa Cordalis,2024,49761,291097
